code	value_en	synonyms	description_en	parents	codesystem	description_code
C21.0	Anus, NOS	NA		C21	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C21.0
C26.8	Overlapping lesion of digestive system	NA		C26	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C26.8
C54.8	Overlapping lesion of corpus uteri	NA		C54	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C54.8
C71.1	Frontal lobe	NA		C71	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C71.1
C02.0	Dorsal surface of tongue, NOS	NA		C02	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C02.0
C69.9	Eye, NOS	NA		C69	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C69.9
C37	THYMUS	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C37
C11	NASOPHARYNX	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C11
C21.2	Cloacogenic zone	NA		C21	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C21.2
C02.2	Ventral surface of tongue, NOS	NA		C02	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C02.2
C04.1	Lateral floor of mouth	NA		C04	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C04.1
C30.1	Middle ear	NA		C30	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C30.1
C04.8	Overlapping lesion of floor of mouth	NA		C04	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C04.8
C72.5	Cranial nerve, NOS	NA		C72	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C72.5
C02.9	Tongue, NOS	NA		C02	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C02.9
C18.5	Splenic flexure of colon	NA		C18	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C18.5
C02	OTHER AND UNSPECIFIED PARTS OF TONGUE	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C02
C31.3	Sphenoid sinus	NA		C31	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C31.3
C18.7	Sigmoid colon	NA		C18	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C18.7
C22	LIVER AND INTRAHEPATIC BILE DUCTS	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C22
C38.2	Posterior mediastinum	NA		C38	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C38.2
C63.0	Epididymis	NA		C63	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C63.0
C09.0	Tonsillar fossa	NA		C09	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C09.0
C11.9	Nasopharynx, NOS	NA		C11	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C11.9
C72	SPINAL CORD, CRANIAL NERVES, AND OTHER PARTS OF CENTRAL NERVOUS SYSTEM	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C72
C40.3	Short bones of lower limb and associated joints	NA		C40	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C40.3
C18	COLON	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C18
C38.4	Pleura, NOS	NA		C38	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C38.4
C44.9	Skin, NOS	NA		C44	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C44.9
C72.9	Nervous system, NOS	NA		C72	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C72.9
C44	SKIN	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C44
C22.0	Liver	NA		C22	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C22.0
C37.9	Thymus	NA		C37	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C37.9
C18.0	Cecum	NA		C18	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C18.0
C54.2	Myometrium	NA		C54	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C54.2
C03	GUM	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C03
C02.3	Anterior 2/3 of tongue, NOS	NA		C02	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C02.3
C03.0	Upper Gum	NA		C03	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C03.0
C18.9	Colon, NOS	NA		C18	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C18.9
C12	PYRIFORM SINUS	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C12
C19	RECTOSIGMOID JUNCTION	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C19
C71.6	Cerebellum, NOS	NA		C71	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C71.6
C40.1	Short bones of upper limb and associated joints	NA		C40	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C40.1
C73	THYROID GLAND	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C73
C12.9	Pyriform sinus	NA		C12	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C12.9
C47.0	Peripheral nerves and autonomic nervous system of head, face, and neck	NA		C47	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C47.0
C72.3	Optic nerve	NA		C72	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C72.3
C71.8	Overlapping lesion of brain	NA		C71	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C71.8
C48.2	Peritoneum, NOS	NA		C48	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C48.2
C18.3	Hepatic flexure of colon	NA		C18	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C18.3
C38.0	Heart	NA		C38	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C38.0
C04.0	Anterior floor of mouth	NA		C04	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C04.0
C19.9	Rectosigmoid junction	NA		C19	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C19.9
C32.0	Glottis	NA		C32	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C32.0
C47.9	Autonomic nervous system, NOS	NA		C47	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C47.9
C54	CORPUS UTERI	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C54
C57.3	Parametrium	NA		C57	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C57.3
C73.9	Thyroid gland	NA		C73	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C73.9
C21.1	Anal canal	NA		C21	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C21.1
C54.0	Isthmus uteri	NA		C54	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C54.0
C63.7	Other specified parts of male genital organs	NA		C63	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C63.7
C13	HYPOPHARYNX	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C13
C09	TONSIL	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C09
C13.0	Postcricoid region	NA		C13	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C13.0
C63.9	Male genital organs, NOS	NA		C63	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C63.9
C49.2	Connective, Subcutaneous and other soft tissues of lower limb and hip	NA		C49	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C49.2
C63	OTHER AND UNSPECIFIED MALE GENITAL ORGANS	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C63
C11.1	Posterior wall of nasopharynx	NA		C11	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C11.1
C48.0	Retroperitoneum	NA		C48	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C48.0
C09.9	Tonsil, NOS	NA		C09	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C09.9
C75.2	Craniopharyngeal duct	NA		C75	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C75.2
C38.3	Mediastinum, NOS	NA		C38	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C38.3
C54.9	Corpus uteri	NA		C54	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C54.9
C14.2	Waldeyer ring	NA		C14	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C14.2
C11.8	Overlapping lesion of nasopharynx	NA		C11	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C11.8
C39.0	Upper respiratory tract, NOS	NA		C39	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C39.0
C48	RETROPERITONEUM AND PERITONEUM	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C48
C55	UTERUS, NOS	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C55
C22.1	intrahepatic bile duct	NA		C22	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C22.1
C50.1	Central portion of breast	NA		C50	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C50.1
C13.9	Hypopharynx, NOS	NA		C13	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C13.9
C72.1	Cauda equina	NA		C72	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C72.1
C47.3	Peripheral nerves and autonomic nervous system of thorax	NA		C47	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C47.3
C67.3	Anterior wall of bladder	NA		C67	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C67.3
C41.3	Rib, sternum, clavicle and associated joints	NA		C41	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C41.3
C31.1	Ethmoid sinus	NA		C31	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C31.1
C40.8	Overlapping lesion of bones, joints and articular cartilage of limbs	NA		C40	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C40.8
C64.9	Kidney, NOS	NA		C64	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C64.9
C05.1	Soft palate, NOS	NA		C05	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C05.1
C64	KIDNEY	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C64
C03.9	Gum, NOS	NA		C03	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C03.9
C47.5	Peripheral nerves and autonomic nervous system of pelvis	NA		C47	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C47.5
C14.8	Overlapping lesion of lip, oral cavity and pharynx	NA		C14	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C14.8
C38	HEART, MEDIASTINUM, AND PLEURA	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C38
C31.8	Overlapping lesion of accessory sinuses	NA		C31	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C31.8
C40.0	Long bones of upper limb, scapula and associated joints	NA		C40	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C40.0
C57.1	Broad ligament	NA		C57	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C57.1
C55.9	Uterus, NOS	NA		C55	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C55.9
C15.2	Abdominal esophagus	NA		C15	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C15.2
C75.4	Carotid body	NA		C75	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C75.4
C05.8	Overlapping lesion of palate	NA		C05	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C05.8
C14.0	Pharynx, NOS	NA		C14	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C14.0
C32.3	Laryngeal cartilage	NA		C32	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C32.3
C49	CONNECTIVE, SUBCUTANEOUS AND OTHER SOFT TISSUES	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C49
C23	GALLBLADDER	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C23
C15.4	Middle third of esophagus	NA		C15	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C15.4
C40.2	Long bones of lower limb and associated joints	NA		C40	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C40.2
C75.8	Overlapping lesion of endocrine glands and related structures	NA		C75	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C75.8
C47.1	Peripheral nerves and autonomic nervous system of upper limb and shoulder	NA		C47	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C47.1
C21.8	Overlapping lesion of rectum, anus and anal canal	NA		C21	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C21.8
C49.0	Connective, Subcutaneous and other soft tissues of head, face, and neck	NA		C49	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C49.0
C05.2	Uvula	NA		C05	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C05.2
C04.9	Floor of mouth, NOS	NA		C04	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C04.9
C04	FLOOR OF MOUTH	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C04
C06.1	Vestibule of mouth	NA		C06	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C06.1
C32.9	Larynx, NOS	NA		C32	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C32.9
C39	OTHER AND ILL-DEFINED SITES WITHIN RESPIRATORY SYSTEM AMD INTRATHORACIC ORGANS	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C39
C15.8	Overlapping lesion of esophagus	NA		C15	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C15.8
C32.1	Supraglottis	NA		C32	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C32.1
C30	NASAL CAVITY AND MIDDLE EAR	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C30
C23.9	Gallbladder	NA		C23	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C23.9
C76.4	Upper limb, NOS	NA		C76	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C76.4
C50.4	Upper-outer quadrant of breast	NA		C50	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C50.4
C06.8	Overlapping lesion of other and unspecified parts of mouth	NA		C06	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C06.8
C51.1	Labium minus	NA		C51	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C51.1
C49.9	Connective, Subcutaneous and other soft tissues, NOS	NA		C49	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C49.9
C50.6	Axillary tail of breast	NA		C50	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C50.6
C42.3	Reticuloendothelial system, NOS	NA		C42	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C42.3
C67.1	Dome of bladder	NA		C67	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C67.1
C49.3	Connective, Subcutaneous and other soft tissues of thorax	NA		C49	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C49.3
C13.1	Hypopharyngeal aspect of aryepiglottic fold	NA		C13	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C13.1
C41.1	Mandible	NA		C41	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C41.1
C39.9	Ill-defined sites within respiratory system	NA		C39	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C39.9
C76.8	Overlapping lesion of ill-defined sites	NA		C76	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C76.8
C50.8	Overlapping lesion of breast	NA		C50	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C50.8
C74	ADRENAL GLAND	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C74
C24.0	Extrahepatic bile duct	NA		C24	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C24.0
C33	TRACHEA	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C33
C74.0	Cortex of adrenal gland	NA		C74	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C74.0
C72.8	Overlapping lesion of brain and central nervous system	NA		C72	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C72.8
C49.5	Connective, Subcutaneous and other soft tissues of pelvis	NA		C49	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C49.5
C24	OTHER AND UNSPECIFIED PARTS OF BILIARY TRACT	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C24
C47.2	Peripheral nerves and autonomic nervous system of lower limb and hip	NA		C47	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C47.2
C05	PALATE	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C05
C25.4	Islets of Langerhans	NA		C25	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C25.4
C50.2	Upper-inner quadrant of breast	NA		C50	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C50.2
C31	ACCESSORY SINUSES	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C31
C24.9	Billiary tract, NOS	NA		C24	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C24.9
C57.8	Overlapping lesion of female genital organs	NA		C57	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C57.8
C05.0	Hard palate	NA		C05	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C05.0
C47.4	Peripheral nerves and autonomic nervous system of abdomen	NA		C47	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C47.4
C48.1	Specified parts of peritoneum	NA		C48	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C48.1
C67.2	Lateral wall of bladder	NA		C67	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C67.2
C74.9	Adrenal gland, NOS	NA		C74	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C74.9
C06.2	Retromolar area	NA		C06	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C06.2
C34.2	Middle lobe, lung	NA		C34	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C34.2
C41.4	Pelvic bones, sacrum, coccyx and associated joints	NA		C41	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C41.4
C40.9	Bone of limb, NOS	NA		C40	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C40.9
C33.9	Trachea	NA		C33	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C33.9
C42.1	Bone marrow	NA		C42	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C42.1
C40	BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C40
C47.6	Peripheral nerves and autonomic nervous system of trunk, NOS	NA		C47	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C47.6
C75	OTHER ENDOCRINE GLANDS AND RELATED STRUCTURES	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C75
C67.4	Posterior wall of bladder	NA		C67	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C67.4
C14	OTHER AND ILL-DEFINED SITES IN LIP, ORAL CAVITY AND PHARYNX	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C14
C16.1	Fundus of stomach	NA		C16	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C16.1
C31.2	Frontal sinus	NA		C31	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C31.2
C76.2	Abdomen, NOS	NA		C76	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C76.2
C38.1	Anterior mediastinum	NA		C38	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C38.1
C75.0	Parathyroid gland	NA		C75	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C75.0
C47.8	Overlapping lesion of peripheral nerves and autonomic nervous system	NA		C47	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C47.8
C15.5	Lower third of esophagus	NA		C15	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C15.5
C69.5	Lacrimal gland	NA		C69	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C69.5
C38.8	Overlapping lesion of heart, mediastinum and pleura	NA		C38	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C38.8
C56	OVARY	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C56
C34.0	Main bronchus	NA		C34	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C34.0
