name	label	description	entity	dataType	refEntity	nillable	unique	visible	idAttribute	labelAttribute	readOnly	aggregateable	lookupAttribute	enumOptions	partOfAttribute	rangeMax	rangeMin	mappedBy	expression	validationExpression	defaultValue	tags	auto	label-en	description-en	label-nl	description-nl	label-de	description-de	label-es	description-es	label-it	description-it	label-pt	description-pt	label-fr	description-fr	label-xx	description-xx
medimageLegend	Legend medical image	Text field to add name of HCP, diagnosis...etc	subject	text		TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		medical																								
clinical	Clinical		subject	compound											skin																								
clinimageBool	Clinical image available?	Pictures are available and can be requested or to be shared later.	subject	bool		TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		clinical																								
clinimage	Clinical image	Clinical pictures	subject	file	sys_FileMeta	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		clinical								FALSE																
clinimageDate	Date Clinical image		subject	date		TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		clinical																								
clinimageLegend	Legend Clinical image	Text field to add name of HCP, diagnosis...etc	subject	text		TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		clinical																								
antibody	Antibody		subject	compound											skin																								
result	Antibody results	Antibody results (free text)	subject	text		TRUE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE		antibody								FALSE																
nameAb	Name Ab	info: http://www.imgt.org	subject	string		TRUE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE		antibody																								
targetProtein	Target Protein	info: http://www.imgt.org	subject	string		TRUE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE		antibody																								
histology	Histology	Pictures are available and can be requested or to be shared later.	subject	compound											skin																								
histologyimageBool	Histology image available?		subject	bool		TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		histology																								
histologyimage	Histology image	Histology information and text	subject	file	sys_FileMeta	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		histology								FALSE																
histologyimageDate	Date Histology image		subject	date		TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		histology																								
histologyimageLegend	Legend Histology image		subject	text		TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		histology																								
variant	Genetic Variant		subject	compound											skin																								
gene	gene		subject	xref	skin_hgnc	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		variant																								
cdna	c.DNA	(example: c.4603G>T)	subject	string		TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		variant								FALSE																
protein	Protein change	(example:p.Glu492ProfsX53)	subject	string		TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		variant																								
genetype	Type of mutation		subject	mref	skin_codebook1_mutationAbnormality	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		variant																								
class	HCP classification	Clinical interperation for variant	subject	mref	skin_codebook1_classVariant	TRUE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE		variant																								
