"value_en"	"description_en"	"codesystem"	"code"	"description_code"
"urn:miriam:icd:A03.1"	"Shigellosis due to Shigella flexneri"	"ICD-10"	"Shigellosis due to Shigella flexneri"	"http://identifiers.org/icd/A03.1"
"urn:miriam:icd:A03.2"	"Shigellosis due to Shigella boydii"	"ICD-10"	"Shigellosis due to Shigella boydii"	"http://identifiers.org/icd/A03.2"
"urn:miriam:icd:A03.3"	"Shigellosis due to Shigella sonnei"	"ICD-10"	"Shigellosis due to Shigella sonnei"	"http://identifiers.org/icd/A03.3"
"urn:miriam:icd:A03.8"	"Other shigellosis"	"ICD-10"	"Other shigellosis"	"http://identifiers.org/icd/A03.8"
"urn:miriam:icd:A03.9"	"Shigellosis	 unspecified"	"ICD-10"	"Shigellosis	 unspecified"	"http://identifiers.org/icd/A03.9"
"urn:miriam:icd:A04"	"Other bacterial intestinal infections"	"ICD-10"	"Other bacterial intestinal infections"	"http://identifiers.org/icd/A04"
"urn:miriam:icd:A04.0"	"Other bacterial intestinal infections - Enteropathogenic Escherichia coli infection"	"ICD-10"	"Other bacterial intestinal infections - Enteropathogenic Escherichia coli infection"	"http://identifiers.org/icd/A04.0"
"urn:miriam:icd:A04.1"	"Other bacterial intestinal infections - Enterotoxigenic Escherichia coli infection"	"ICD-10"	"Other bacterial intestinal infections - Enterotoxigenic Escherichia coli infection"	"http://identifiers.org/icd/A04.1"
"urn:miriam:icd:A04.2"	"Other bacterial intestinal infections - Enteroinvasive Escherichia coli infection"	"ICD-10"	"Other bacterial intestinal infections - Enteroinvasive Escherichia coli infection"	"http://identifiers.org/icd/A04.2"
"urn:miriam:icd:A04.3"	"Other bacterial intestinal infections - Enterohaemorrhagic Escherichia coli infection"	"ICD-10"	"Other bacterial intestinal infections - Enterohaemorrhagic Escherichia coli infection"	"http://identifiers.org/icd/A04.3"
"urn:miriam:icd:A04.4"	"Other intestinal Escherichia coli infections"	"ICD-10"	"Other intestinal Escherichia coli infections"	"http://identifiers.org/icd/A04.4"
"urn:miriam:icd:A04.5"	"Other bacterial intestinal infections - Campylobacter enteritis"	"ICD-10"	"Other bacterial intestinal infections - Campylobacter enteritis"	"http://identifiers.org/icd/A04.5"
"urn:miriam:icd:A04.6"	"Other bacterial intestinal infections - Enteritis due to Yersinia enterocolitica"	"ICD-10"	"Other bacterial intestinal infections - Enteritis due to Yersinia enterocolitica"	"http://identifiers.org/icd/A04.6"
"urn:miriam:icd:A04.7"	"Other bacterial intestinal infections - Enterocolitis due to Clostridium difficile"	"ICD-10"	"Other bacterial intestinal infections - Enterocolitis due to Clostridium difficile"	"http://identifiers.org/icd/A04.7"
"urn:miriam:icd:A04.8"	"Other specified bacterial intestinal infections"	"ICD-10"	"Other specified bacterial intestinal infections"	"http://identifiers.org/icd/A04.8"
"urn:miriam:icd:A04.9"	"Bacterial intestinal infection	 unspecified"	"ICD-10"	"Bacterial intestinal infection	 unspecified"	"http://identifiers.org/icd/A04.9"
"urn:miriam:icd:A05"	"Other bacterial foodborne intoxications	 not elsewhere classified"	"ICD-10"	"Other bacterial foodborne intoxications	 not elsewhere classified"	"http://identifiers.org/icd/A05"
"urn:miriam:icd:A05.0"	"Foodborne staphylococcal intoxication"	"ICD-10"	"Foodborne staphylococcal intoxication"	"http://identifiers.org/icd/A05.0"
"urn:miriam:icd:A05.1"	"Other bacterial foodborne intoxications	 not elsewhere classified - Botulism"	"ICD-10"	"Other bacterial foodborne intoxications	 not elsewhere classified - Botulism"	"http://identifiers.org/icd/A05.1"
"urn:miriam:icd:A05.2"	"Foodborne Clostridium perfringens [Clostridium welchii] intoxication"	"ICD-10"	"Foodborne Clostridium perfringens [Clostridium welchii] intoxication"	"http://identifiers.org/icd/A05.2"
"urn:miriam:icd:A05.3"	"Foodborne Vibrio parahaemolyticus intoxication"	"ICD-10"	"Foodborne Vibrio parahaemolyticus intoxication"	"http://identifiers.org/icd/A05.3"
"urn:miriam:icd:A05.4"	"Foodborne Bacillus cereus intoxication"	"ICD-10"	"Foodborne Bacillus cereus intoxication"	"http://identifiers.org/icd/A05.4"
"urn:miriam:icd:A05.8"	"Other specified bacterial foodborne intoxications"	"ICD-10"	"Other specified bacterial foodborne intoxications"	"http://identifiers.org/icd/A05.8"
"urn:miriam:icd:A05.9"	"Bacterial foodborne intoxication	 unspecified"	"ICD-10"	"Bacterial foodborne intoxication	 unspecified"	"http://identifiers.org/icd/A05.9"
"urn:miriam:icd:A06"	"Amoebiasis"	"ICD-10"	"Amoebiasis"	"http://identifiers.org/icd/A06"
"urn:miriam:icd:A06.0"	"Amoebiasis - Acute amoebic dysentery"	"ICD-10"	"Amoebiasis - Acute amoebic dysentery"	"http://identifiers.org/icd/A06.0"
"urn:miriam:icd:A06.1"	"Chronic intestinal amoebiasis"	"ICD-10"	"Chronic intestinal amoebiasis"	"http://identifiers.org/icd/A06.1"
"urn:miriam:icd:A06.2"	"Amoebiasis - Amoebic nondysenteric colitis"	"ICD-10"	"Amoebiasis - Amoebic nondysenteric colitis"	"http://identifiers.org/icd/A06.2"
"urn:miriam:icd:A06.3"	"Amoebiasis - Amoeboma of intestine"	"ICD-10"	"Amoebiasis - Amoeboma of intestine"	"http://identifiers.org/icd/A06.3"
"urn:miriam:icd:A06.4"	"Amoebiasis - Amoebic liver abscess"	"ICD-10"	"Amoebiasis - Amoebic liver abscess"	"http://identifiers.org/icd/A06.4"
"urn:miriam:icd:A06.5"	"Amoebiasis - Amoebic lung abscess"	"ICD-10"	"Amoebiasis - Amoebic lung abscess"	"http://identifiers.org/icd/A06.5"
"urn:miriam:icd:A06.6"	"Amoebiasis - Amoebic brain abscess"	"ICD-10"	"Amoebiasis - Amoebic brain abscess"	"http://identifiers.org/icd/A06.6"
"urn:miriam:icd:A06.7"	"Cutaneous amoebiasis"	"ICD-10"	"Cutaneous amoebiasis"	"http://identifiers.org/icd/A06.7"
"urn:miriam:icd:A06.8"	"Amoebiasis - Amoebic infection of other sites"	"ICD-10"	"Amoebiasis - Amoebic infection of other sites"	"http://identifiers.org/icd/A06.8"
"urn:miriam:icd:A06.9"	"Amoebiasis	 unspecified"	"ICD-10"	"Amoebiasis	 unspecified"	"http://identifiers.org/icd/A06.9"
"urn:miriam:icd:A07"	"Other protozoal intestinal diseases"	"ICD-10"	"Other protozoal intestinal diseases"	"http://identifiers.org/icd/A07"
"urn:miriam:icd:A07.0"	"Other protozoal intestinal diseases - Balantidiasis"	"ICD-10"	"Other protozoal intestinal diseases - Balantidiasis"	"http://identifiers.org/icd/A07.0"
"urn:miriam:icd:A07.1"	"Other protozoal intestinal diseases - Giardiasis [lambliasis]"	"ICD-10"	"Other protozoal intestinal diseases - Giardiasis [lambliasis]"	"http://identifiers.org/icd/A07.1"
"urn:miriam:icd:A07.2"	"Other protozoal intestinal diseases - Cryptosporidiosis"	"ICD-10"	"Other protozoal intestinal diseases - Cryptosporidiosis"	"http://identifiers.org/icd/A07.2"
"urn:miriam:icd:A07.3"	"Other protozoal intestinal diseases - Isosporiasis"	"ICD-10"	"Other protozoal intestinal diseases - Isosporiasis"	"http://identifiers.org/icd/A07.3"
"urn:miriam:icd:A07.8"	"Other specified protozoal intestinal diseases"	"ICD-10"	"Other specified protozoal intestinal diseases"	"http://identifiers.org/icd/A07.8"
"urn:miriam:icd:A07.9"	"Protozoal intestinal disease	 unspecified"	"ICD-10"	"Protozoal intestinal disease	 unspecified"	"http://identifiers.org/icd/A07.9"
"urn:miriam:icd:A08"	"Viral and other specified intestinal infections"	"ICD-10"	"Viral and other specified intestinal infections"	"http://identifiers.org/icd/A08"
"urn:miriam:icd:A08.0"	"Rotaviral enteritis"	"ICD-10"	"Rotaviral enteritis"	"http://identifiers.org/icd/A08.0"
"urn:miriam:icd:A08.1"	"Viral and other specified intestinal infections - Acute gastroenteropathy due to Norwalk agent"	"ICD-10"	"Viral and other specified intestinal infections - Acute gastroenteropathy due to Norwalk agent"	"http://identifiers.org/icd/A08.1"
"urn:miriam:icd:A08.2"	"Adenoviral enteritis"	"ICD-10"	"Adenoviral enteritis"	"http://identifiers.org/icd/A08.2"
"urn:miriam:icd:A08.3"	"Other viral enteritis"	"ICD-10"	"Other viral enteritis"	"http://identifiers.org/icd/A08.3"
"urn:miriam:icd:A08.4"	"Viral intestinal infection	 unspecified"	"ICD-10"	"Viral intestinal infection	 unspecified"	"http://identifiers.org/icd/A08.4"
"urn:miriam:icd:A08.5"	"Other specified intestinal infections"	"ICD-10"	"Other specified intestinal infections"	"http://identifiers.org/icd/A08.5"
"urn:miriam:icd:A09"	"Other gastroenteritis and colitis of infectious and unspecified origin"	"ICD-10"	"Other gastroenteritis and colitis of infectious and unspecified origin"	"http://identifiers.org/icd/A09"
"urn:miriam:icd:A09.0"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"ICD-10"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"http://identifiers.org/icd/A09.0"
"urn:miriam:icd:A09.9"	"Gastroenteritis and colitis of unspecified origin"	"ICD-10"	"Gastroenteritis and colitis of unspecified origin"	"http://identifiers.org/icd/A09.9"
"urn:miriam:icd:A15"	"Respiratory tuberculosis	 bacteriologically and histologically confirmed"	"ICD-10"	"Respiratory tuberculosis	 bacteriologically and histologically confirmed"	"http://identifiers.org/icd/A15"
"urn:miriam:icd:A15.0"	"Tuberculosis of lung	 confirmed by sputum microscopy with or without culture"	"ICD-10"	"Tuberculosis of lung	 confirmed by sputum microscopy with or without culture"	"http://identifiers.org/icd/A15.0"
"urn:miriam:icd:A15.1"	"Tuberculosis of lung	 confirmed by culture only"	"ICD-10"	"Tuberculosis of lung	 confirmed by culture only"	"http://identifiers.org/icd/A15.1"
"urn:miriam:icd:A15.2"	"Tuberculosis of lung	 confirmed histologically"	"ICD-10"	"Tuberculosis of lung	 confirmed histologically"	"http://identifiers.org/icd/A15.2"
"urn:miriam:icd:A15.3"	"Tuberculosis of lung	 confirmed by unspecified means"	"ICD-10"	"Tuberculosis of lung	 confirmed by unspecified means"	"http://identifiers.org/icd/A15.3"
"urn:miriam:icd:A15.4"	"Tuberculosis of intrathoracic lymph nodes	 confirmed bacteriologically and histologically"	"ICD-10"	"Tuberculosis of intrathoracic lymph nodes	 confirmed bacteriologically and histologically"	"http://identifiers.org/icd/A15.4"
"urn:miriam:icd:A15.5"	"Tuberculosis of larynx	 trachea and bronchus	 confirmed bacteriologically and histologically"	"ICD-10"	"Tuberculosis of larynx	 trachea and bronchus	 confirmed bacteriologically and histologically"	"http://identifiers.org/icd/A15.5"
"urn:miriam:icd:A15.6"	"Tuberculous pleurisy	 confirmed bacteriologically and histologically"	"ICD-10"	"Tuberculous pleurisy	 confirmed bacteriologically and histologically"	"http://identifiers.org/icd/A15.6"
"urn:miriam:icd:A15.7"	"Primary respiratory tuberculosis	 confirmed bacteriologically and histologically"	"ICD-10"	"Primary respiratory tuberculosis	 confirmed bacteriologically and histologically"	"http://identifiers.org/icd/A15.7"
"urn:miriam:icd:A15.8"	"Other respiratory tuberculosis	 confirmed bacteriologically and histologically"	"ICD-10"	"Other respiratory tuberculosis	 confirmed bacteriologically and histologically"	"http://identifiers.org/icd/A15.8"
"urn:miriam:icd:A15.9"	"Respiratory tuberculosis unspecified	 confirmed bacteriologically and histologically"	"ICD-10"	"Respiratory tuberculosis unspecified	 confirmed bacteriologically and histologically"	"http://identifiers.org/icd/A15.9"
"urn:miriam:icd:A15-A19"	"Tuberculosis"	"ICD-10"	"Tuberculosis"	"NA"
"urn:miriam:icd:A16"	"Respiratory tuberculosis	 not confirmed bacteriologically or histologically"	"ICD-10"	"Respiratory tuberculosis	 not confirmed bacteriologically or histologically"	"http://identifiers.org/icd/A16"
"urn:miriam:icd:A16.0"	"Tuberculosis of lung	 bacteriologically and histologically negative"	"ICD-10"	"Tuberculosis of lung	 bacteriologically and histologically negative"	"http://identifiers.org/icd/A16.0"
"urn:miriam:icd:A16.1"	"Tuberculosis of lung	 bacteriological and histological examination not done"	"ICD-10"	"Tuberculosis of lung	 bacteriological and histological examination not done"	"http://identifiers.org/icd/A16.1"
"urn:miriam:icd:A16.2"	"Tuberculosis of lung	 without mention of bacteriological or histological confirmation"	"ICD-10"	"Tuberculosis of lung	 without mention of bacteriological or histological confirmation"	"http://identifiers.org/icd/A16.2"
"urn:miriam:icd:A16.3"	"Tuberculosis of intrathoracic lymph nodes	 without mention of bacteriological or histological confirmation"	"ICD-10"	"Tuberculosis of intrathoracic lymph nodes	 without mention of bacteriological or histological confirmation"	"http://identifiers.org/icd/A16.3"
"urn:miriam:icd:A16.4"	"Tuberculosis of larynx	 trachea and bronchus	 without mention of bacteriological or histological confirmation"	"ICD-10"	"Tuberculosis of larynx	 trachea and bronchus	 without mention of bacteriological or histological confirmation"	"http://identifiers.org/icd/A16.4"
"urn:miriam:icd:A16.5"	"Tuberculous pleurisy	 without mention of bacteriological or histological confirmation"	"ICD-10"	"Tuberculous pleurisy	 without mention of bacteriological or histological confirmation"	"http://identifiers.org/icd/A16.5"
"urn:miriam:icd:A16.7"	"Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"	"ICD-10"	"Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"	"http://identifiers.org/icd/A16.7"
"urn:miriam:icd:A16.8"	"Other respiratory tuberculosis	 without mention of bacteriological or histological confirmation"	"ICD-10"	"Other respiratory tuberculosis	 without mention of bacteriological or histological confirmation"	"http://identifiers.org/icd/A16.8"
"urn:miriam:icd:A16.9"	"Respiratory tuberculosis unspecified	 without mention of bacteriological or histological confirmation"	"ICD-10"	"Respiratory tuberculosis unspecified	 without mention of bacteriological or histological confirmation"	"http://identifiers.org/icd/A16.9"
"urn:miriam:icd:A17"	"Tuberculosis of nervous system"	"ICD-10"	"Tuberculosis of nervous system"	"http://identifiers.org/icd/A17"
"urn:miriam:icd:A17.0"	"Tuberculosis of nervous system - Tuberculous meningitis"	"ICD-10"	"Tuberculosis of nervous system - Tuberculous meningitis"	"http://identifiers.org/icd/A17.0"
"urn:miriam:icd:A17.1"	"Tuberculosis of nervous system - Meningeal tuberculoma"	"ICD-10"	"Tuberculosis of nervous system - Meningeal tuberculoma"	"http://identifiers.org/icd/A17.1"
"urn:miriam:icd:A17.8"	"Other tuberculosis of nervous system"	"ICD-10"	"Other tuberculosis of nervous system"	"http://identifiers.org/icd/A17.8"
"urn:miriam:icd:A17.9"	"Tuberculosis of nervous system	 unspecified"	"ICD-10"	"Tuberculosis of nervous system	 unspecified"	"http://identifiers.org/icd/A17.9"
"urn:miriam:icd:A18"	"Tuberculosis of other organs"	"ICD-10"	"Tuberculosis of other organs"	"http://identifiers.org/icd/A18"
"urn:miriam:icd:A18.0"	"Tuberculosis of bones and joints"	"ICD-10"	"Tuberculosis of bones and joints"	"http://identifiers.org/icd/A18.0"
"urn:miriam:icd:A18.1"	"Tuberculosis of genitourinary system"	"ICD-10"	"Tuberculosis of genitourinary system"	"http://identifiers.org/icd/A18.1"
"urn:miriam:icd:A18.2"	"Tuberculosis of other organs - Tuberculous peripheral lymphadenopathy"	"ICD-10"	"Tuberculosis of other organs - Tuberculous peripheral lymphadenopathy"	"http://identifiers.org/icd/A18.2"
"urn:miriam:icd:A18.3"	"Tuberculosis of intestines	 peritoneum and mesenteric glands"	"ICD-10"	"Tuberculosis of intestines	 peritoneum and mesenteric glands"	"http://identifiers.org/icd/A18.3"
"urn:miriam:icd:A18.4"	"Tuberculosis of skin and subcutaneous tissue"	"ICD-10"	"Tuberculosis of skin and subcutaneous tissue"	"http://identifiers.org/icd/A18.4"
"urn:miriam:icd:A18.5"	"Tuberculosis of eye"	"ICD-10"	"Tuberculosis of eye"	"http://identifiers.org/icd/A18.5"
"urn:miriam:icd:A18.6"	"Tuberculosis of ear"	"ICD-10"	"Tuberculosis of ear"	"http://identifiers.org/icd/A18.6"
"urn:miriam:icd:A18.7"	"Tuberculosis of adrenal glands"	"ICD-10"	"Tuberculosis of adrenal glands"	"http://identifiers.org/icd/A18.7"
"urn:miriam:icd:A18.8"	"Tuberculosis of other specified organs"	"ICD-10"	"Tuberculosis of other specified organs"	"http://identifiers.org/icd/A18.8"
"urn:miriam:icd:A19"	"Miliary tuberculosis"	"ICD-10"	"Miliary tuberculosis"	"http://identifiers.org/icd/A19"
"urn:miriam:icd:A19.0"	"Acute miliary tuberculosis of a single specified site"	"ICD-10"	"Acute miliary tuberculosis of a single specified site"	"http://identifiers.org/icd/A19.0"
"urn:miriam:icd:A19.1"	"Acute miliary tuberculosis of multiple sites"	"ICD-10"	"Acute miliary tuberculosis of multiple sites"	"http://identifiers.org/icd/A19.1"
"urn:miriam:icd:A19.2"	"Acute miliary tuberculosis	 unspecified"	"ICD-10"	"Acute miliary tuberculosis	 unspecified"	"http://identifiers.org/icd/A19.2"
"urn:miriam:icd:A19.8"	"Other miliary tuberculosis"	"ICD-10"	"Other miliary tuberculosis"	"http://identifiers.org/icd/A19.8"
"urn:miriam:icd:A19.9"	"Miliary tuberculosis	 unspecified"	"ICD-10"	"Miliary tuberculosis	 unspecified"	"http://identifiers.org/icd/A19.9"
"urn:miriam:icd:A20"	"Plague"	"ICD-10"	"Plague"	"http://identifiers.org/icd/A20"
"urn:miriam:icd:A20.0"	"Bubonic plague"	"ICD-10"	"Bubonic plague"	"http://identifiers.org/icd/A20.0"
"urn:miriam:icd:A20.1"	"Cellulocutaneous plague"	"ICD-10"	"Cellulocutaneous plague"	"http://identifiers.org/icd/A20.1"
"urn:miriam:icd:A20.2"	"Pneumonic plague"	"ICD-10"	"Pneumonic plague"	"http://identifiers.org/icd/A20.2"
"urn:miriam:icd:A20.3"	"Plague meningitis"	"ICD-10"	"Plague meningitis"	"http://identifiers.org/icd/A20.3"
"urn:miriam:icd:A20.7"	"Septicaemic plague"	"ICD-10"	"Septicaemic plague"	"http://identifiers.org/icd/A20.7"
"urn:miriam:icd:A20.8"	"Other forms of plague"	"ICD-10"	"Other forms of plague"	"http://identifiers.org/icd/A20.8"
"urn:miriam:icd:A20.9"	"Plague	 unspecified"	"ICD-10"	"Plague	 unspecified"	"http://identifiers.org/icd/A20.9"
"urn:miriam:icd:A20-A28"	"Certain zoonotic bacterial diseases"	"ICD-10"	"Certain zoonotic bacterial diseases"	"NA"
"urn:miriam:icd:A21"	"Tularaemia"	"ICD-10"	"Tularaemia"	"http://identifiers.org/icd/A21"
"urn:miriam:icd:A21.0"	"Ulceroglandular tularaemia"	"ICD-10"	"Ulceroglandular tularaemia"	"http://identifiers.org/icd/A21.0"
"urn:miriam:icd:A21.1"	"Oculoglandular tularaemia"	"ICD-10"	"Oculoglandular tularaemia"	"http://identifiers.org/icd/A21.1"
"urn:miriam:icd:A21.2"	"Pulmonary tularaemia"	"ICD-10"	"Pulmonary tularaemia"	"http://identifiers.org/icd/A21.2"
"urn:miriam:icd:A21.3"	"Gastrointestinal tularaemia"	"ICD-10"	"Gastrointestinal tularaemia"	"http://identifiers.org/icd/A21.3"
"urn:miriam:icd:A21.7"	"Generalized tularaemia"	"ICD-10"	"Generalized tularaemia"	"http://identifiers.org/icd/A21.7"
"urn:miriam:icd:A21.8"	"Other forms of tularaemia"	"ICD-10"	"Other forms of tularaemia"	"http://identifiers.org/icd/A21.8"
"urn:miriam:icd:A21.9"	"Tularaemia	 unspecified"	"ICD-10"	"Tularaemia	 unspecified"	"http://identifiers.org/icd/A21.9"
"urn:miriam:icd:A22"	"Anthrax"	"ICD-10"	"Anthrax"	"http://identifiers.org/icd/A22"
"urn:miriam:icd:A22.0"	"Cutaneous anthrax"	"ICD-10"	"Cutaneous anthrax"	"http://identifiers.org/icd/A22.0"
"urn:miriam:icd:A22.1"	"Pulmonary anthrax"	"ICD-10"	"Pulmonary anthrax"	"http://identifiers.org/icd/A22.1"
"urn:miriam:icd:A22.2"	"Gastrointestinal anthrax"	"ICD-10"	"Gastrointestinal anthrax"	"http://identifiers.org/icd/A22.2"
"urn:miriam:icd:A22.7"	"Anthrax sepsis"	"ICD-10"	"Anthrax sepsis"	"http://identifiers.org/icd/A22.7"
"urn:miriam:icd:A22.8"	"Other forms of anthrax"	"ICD-10"	"Other forms of anthrax"	"http://identifiers.org/icd/A22.8"
"urn:miriam:icd:A22.9"	"Anthrax	 unspecified"	"ICD-10"	"Anthrax	 unspecified"	"http://identifiers.org/icd/A22.9"
"urn:miriam:icd:A23"	"Brucellosis"	"ICD-10"	"Brucellosis"	"http://identifiers.org/icd/A23"
"urn:miriam:icd:A23.0"	"Brucellosis due to Brucella melitensis"	"ICD-10"	"Brucellosis due to Brucella melitensis"	"http://identifiers.org/icd/A23.0"
"urn:miriam:icd:A23.1"	"Brucellosis due to Brucella abortus"	"ICD-10"	"Brucellosis due to Brucella abortus"	"http://identifiers.org/icd/A23.1"
"urn:miriam:icd:A23.2"	"Brucellosis due to Brucella suis"	"ICD-10"	"Brucellosis due to Brucella suis"	"http://identifiers.org/icd/A23.2"
"urn:miriam:icd:A23.3"	"Brucellosis due to Brucella canis"	"ICD-10"	"Brucellosis due to Brucella canis"	"http://identifiers.org/icd/A23.3"
"urn:miriam:icd:A23.8"	"Other brucellosis"	"ICD-10"	"Other brucellosis"	"http://identifiers.org/icd/A23.8"
"urn:miriam:icd:A23.9"	"Brucellosis	 unspecified"	"ICD-10"	"Brucellosis	 unspecified"	"http://identifiers.org/icd/A23.9"
"urn:miriam:icd:A24"	"Glanders and melioidosis"	"ICD-10"	"Glanders and melioidosis"	"http://identifiers.org/icd/A24"
"urn:miriam:icd:A24.0"	"Glanders"	"ICD-10"	"Glanders"	"http://identifiers.org/icd/A24.0"
"urn:miriam:icd:A24.1"	"Acute and fulminating melioidosis"	"ICD-10"	"Acute and fulminating melioidosis"	"http://identifiers.org/icd/A24.1"
"urn:miriam:icd:A24.2"	"Subacute and chronic melioidosis"	"ICD-10"	"Subacute and chronic melioidosis"	"http://identifiers.org/icd/A24.2"
"urn:miriam:icd:A24.3"	"Other melioidosis"	"ICD-10"	"Other melioidosis"	"http://identifiers.org/icd/A24.3"
"urn:miriam:icd:A24.4"	"Melioidosis	 unspecified"	"ICD-10"	"Melioidosis	 unspecified"	"http://identifiers.org/icd/A24.4"
"urn:miriam:icd:A25"	"Rat-bite fevers"	"ICD-10"	"Rat-bite fevers"	"http://identifiers.org/icd/A25"
"urn:miriam:icd:A25.0"	"Rat-bite fevers - Spirillosis"	"ICD-10"	"Rat-bite fevers - Spirillosis"	"http://identifiers.org/icd/A25.0"
"urn:miriam:icd:A25.1"	"Rat-bite fevers - Streptobacillosis"	"ICD-10"	"Rat-bite fevers - Streptobacillosis"	"http://identifiers.org/icd/A25.1"
"urn:miriam:icd:A25.9"	"Rat-bite fevers - Rat-bite fever	 unspecified"	"ICD-10"	"Rat-bite fevers - Rat-bite fever	 unspecified"	"http://identifiers.org/icd/A25.9"
"urn:miriam:icd:A26"	"Erysipeloid"	"ICD-10"	"Erysipeloid"	"http://identifiers.org/icd/A26"
"urn:miriam:icd:A26.0"	"Cutaneous erysipeloid"	"ICD-10"	"Cutaneous erysipeloid"	"http://identifiers.org/icd/A26.0"
"urn:miriam:icd:A26.7"	"Erysipeloid - Erysipelothrix sepsis"	"ICD-10"	"Erysipeloid - Erysipelothrix sepsis"	"http://identifiers.org/icd/A26.7"
"urn:miriam:icd:A26.8"	"Other forms of erysipeloid"	"ICD-10"	"Other forms of erysipeloid"	"http://identifiers.org/icd/A26.8"
"urn:miriam:icd:A26.9"	"Erysipeloid	 unspecified"	"ICD-10"	"Erysipeloid	 unspecified"	"http://identifiers.org/icd/A26.9"
"urn:miriam:icd:A27"	"Leptospirosis"	"ICD-10"	"Leptospirosis"	"http://identifiers.org/icd/A27"
"urn:miriam:icd:A27.0"	"Leptospirosis icterohaemorrhagica"	"ICD-10"	"Leptospirosis icterohaemorrhagica"	"http://identifiers.org/icd/A27.0"
"urn:miriam:icd:A27.8"	"Other forms of leptospirosis"	"ICD-10"	"Other forms of leptospirosis"	"http://identifiers.org/icd/A27.8"
"urn:miriam:icd:A27.9"	"Leptospirosis	 unspecified"	"ICD-10"	"Leptospirosis	 unspecified"	"http://identifiers.org/icd/A27.9"
"urn:miriam:icd:A28"	"Other zoonotic bacterial diseases	 not elsewhere classified"	"ICD-10"	"Other zoonotic bacterial diseases	 not elsewhere classified"	"http://identifiers.org/icd/A28"
"urn:miriam:icd:A28.0"	"Other zoonotic bacterial diseases	 not elsewhere classified - Pasteurellosis"	"ICD-10"	"Other zoonotic bacterial diseases	 not elsewhere classified - Pasteurellosis"	"http://identifiers.org/icd/A28.0"
"urn:miriam:icd:A28.1"	"Other zoonotic bacterial diseases	 not elsewhere classified - Cat-scratch disease"	"ICD-10"	"Other zoonotic bacterial diseases	 not elsewhere classified - Cat-scratch disease"	"http://identifiers.org/icd/A28.1"
