value_en	description_en	codesystem	code	description_code
Founder Mutation		NCIT	ncit:C93101	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93101
Transcription Factor Binding Site Mutation	A change in the nucleotide sequence of a transcription factor binding site for a gene.	NCIT	ncit:C148652	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148652
Indel Mutation	A mutation class that includes insertion mutations, deletion mutations and mutation events where both an insertion and a deletion has occurred.	NCIT	ncit:C99752	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99752
Gene Mutation	The result of any gain, loss or alteration of the sequences comprising a gene, including all sequences transcribed into RNA.	NCIT	ncit:C18093	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18093
Inversion Mutation Abnormality	A structural change in genomic DNA where the 5' to 3' order of a nucleotide sequence is completely reversed to the 3' to 5' order relative to its adjacent sequences. This inversion is termed either pericentric, if it includes the centromere of a chromosome, or pancentric, if it excludes the centromere. An inversion mutation abnormality may be heritable or occur somatically.	NCIT	ncit:C45589	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45589
Restriction Site Polymorphism	An inherited change of a single base in a DNA sequence from an organism that changes the specific pattern of bases recognized and hydrolyzed by a restriction endonuclease enzyme. Restriction site polymorphisms can either create or abolish recognition sites for restriction enzymes.	NCIT	ncit:C45679	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45679
Tandem Repeat Variation	An inherited polymorphism in eukaryotic DNA that results from variations in the number of tandem repeat nucleotide sequences, which are end-to-end adjacent copies of a short (2 to 60 nucleotides) DNA sequence located between two restriction endonuclease recognition sites. These are referred to as variable number of tandem repeats (VNTR), and the number of alleles at these loci can vary from 2 to more than 20. VNTRs provide important genetic information that is used to identify an individual via the DNA fingerprinting technique.	NCIT	ncit:C45680	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45680
Loss of Heterozygosity	A genetic variation where gain, loss, or exchange of DNA results in monoallelic loss of function mutations in a diploid cell. In the context of tumor suppressor genes, where a single copy is sufficient for functionality, loss of function for the second allele is associated with tumorigenesis.	NCIT	ncit:C18016	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18016
Novel Mutation		NCIT	ncit:C93104	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93104
Conversion Mutation	A rearrangement where nonreciprocal transfer of genetic information between two sites in the genome lead to the deletion of one sequence and the duplication of the transferred sequence.	NCIT	ncit:C165230	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C165230
de novo Mutation		NCIT	ncit:C93106	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93106
Multiple Nucleotide Abnormalities	Point mutations at various locations in a DNA sequence from either a eukaryotic or prokaryotic organism that causes a base change which results in an amino acid change in the protein product. This alteration may affect the stability and/or activity of the protein. Multiple mutation abnormalities may be heritable or occur spontaneously.	NCIT	ncit:C45654	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45654
Truncation Mutation	The mutation of either a splice site or stop codon that leads to a truncated transcript.	NCIT	ncit:C148641	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148641
Non-Sense Mediated Decay Mutation	A mutation occurring in a sequence that regulates non-sense mediated mRNA decay.	NCIT	ncit:C148643	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148643
Targeted Mutation	A mutation created in a gene at a specific location. Targeted mutations are frequently generated in the laboratory to investigate the influence of inactivation of a particular gene product.	NCIT	ncit:C48668	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48668
Induced Mutation	Any mutation that occurs in response to inducing agents, including radiation, viral infection, and a broad variety of mutagenic chemicals.	NCIT	ncit:C40987	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40987
Germline Mutation	Any mutation that appears in the gametes and which will therefore be transmitted to the progeny with some frequency.	NCIT	ncit:C17666	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17666
Elongation Mutation	The mutation of either a splice site or stop codon that leads to an extended transcript.	NCIT	ncit:C148640	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148640
UV Mutation Abnormality	A UV Mutation Abnormality is an altered heritable state of the genetic DNA nucleotide sequence caused by exposure to ultraviolet light (UV) that results mostly in the formation of cyclobutane pyrimidine dimers and (6-4) photoproducts. UV-damaged DNA interferes with DNA replication and transcription, and can lead to cell killing or mutagenesis if the damage is not properly repaired.	NCIT	ncit:C45593	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45593
Kataegis	Regions of hypermutation that are found in clusters and are localized to one or more hot spots in the genome.	NCIT	ncit:C132063	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C132063
